,PLAN,AVANCE_CARRERA,ACCESO,SUBACCESO,CONVOCATORIA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PBM_CALCULADO,ESTRATO,MUNICIPIO_RESIDENCIA,PROVINCIA_NACIMIENTO,MUNICIPIO_NACIMIENTO,PAIS-NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
0,INGENIERÍA MECATRÓNICA,70.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,4.0,36,1,,ATLÁNTICO,BARRANQUILLA,COLOMBIA,NO,NO,Plantel Privado,
1,INGENIERÍA BIOLÓGICA,73.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,28,10.0,4.0,9,2,ASTREA,CESAR,ASTREA,COLOMBIA,NO,NO,Plantel Oficial,
2,INGENIERÍA MECATRÓNICA,70.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,4.3,7,1,VALLEDUPAR,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,
3,INGENIERÍA BIOLÓGICA,11.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,HOMBRE,23,3.0,3.7,3,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,572.44
4,INGENIERÍA MECATRÓNICA,81.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,4.0,2,1,BOSCONIA,CESAR,BOSCONIA,COLOMBIA,NO,NO,Plantel Oficial,
5,INGENIERÍA BIOLÓGICA,56.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,20,9.0,3.8,22,0,,MAGDALENA,SANTA MARTA,COLOMBIA,NO,NO,Plantel Oficial,
6,ESTADÍSTICA,67.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,4.2,7,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
7,ESTADÍSTICA,55.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,3.4,9,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
8,GESTIÓN CULTURAL Y COMUNICATIVA,50.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,3.7,3,1,LA PAZ,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLOMBIA,NO,NO,Plantel Oficial,
9,INGENIERÍA BIOLÓGICA,76.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.5,37,4,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
